similarity_pct,product_a,product_b
89%,E SAVING LAMP 11W E14 WW - PHILIPS,E SAVING LAMP 8W E27 WW - PHILIPS
89%,E SAVING LAMP 11W E27 DL - PHILIPS,E SAVING LAMP 8W E27 WW - PHILIPS
89%,E SAVING LAMP 14W E27 DL - PHILIPS,E SAVING LAMP 8W E27 WW - PHILIPS
89%,E SAVING LAMP 23W E27 DL - PHILIPS,E SAVING LAMP 8W E27 WW - PHILIPS
89%,"EX FAN METAL W GRILL 10"" 250MM - KHIND","EX FAN METAL W GRILL 10"" 250MM - DIGNITY"
89%,EX FAN PVC SQUARE 25CM -KHIND,EX FAN PVC SQUARE 15CM - KDK
89%,EX FAN PVC SQUARE 25CM -KHIND,EX FAN PVC SQUARE 20CM - KDK
89%,"EX FAN METAL W GRILL 10"" 250MM - DIGNITY","EX FAN METAL W GRILL 10"" 250MM - DETON"
89%,"EX FAN METAL W GRILL 10"" 250MM - DIGNITY","EX FAN METAL W GRILL 10"" 250MM - WINDY"
89%,EX FAN ROUND 15CM GLASS MOUNT - HIFI,EX FAN ROUND 20CM GLASS MOUNT - HIFI/ZIA
89%,EXT SOCKET 13A 2W TEE UNIVERSAL,EXT SOCKET 13A 5W/3MTR UNIVERSAL
89%,EXT SOCKET 13A 4W/3MTR - PERMA,EXT SOCKET 13A 4W HD - PERMA
89%,EXT SOCKET 13A 4W/5MTR - PERMA,EXT SOCKET 13A 4W HD - PERMA
89%,EXT SOCKET 13A 4W TEE UNIVERSAL,EXT SOCKET 13A 5W/3MTR UNIVERSAL
89%,EXT SOCKET 13A 5W/3MTR UNIVERSAL,EXT SOCKET 13A 3W TEE UNIVERSAL
89%,FAN REGULATOR DIMMER 500W-YASH,FAN REGULATOR DIMMER 500W - OSTRICH
89%,FAN CAPACITOR  1.5UF,FAN CAPACITOR  2UF
89%,FAN REGULATOR DIMMER W/SWITCH 400W - MILAC,FAN REGULATOR DIMMER W/SWITCH 400W -ORANGE
89%,FL FITTING WP 1X18W - PRESTON,FL FITTING WP 2X36W - PRESTON
89%,FL TUBE 3FT 30W WW,FL TUBE 3FT 30W DL
89%,"FLOOR FAN METAL 16"" 240V - DETON","FLOOR FAN METAL 18"" 45CM 240V - DETON"
89%,GI ADAPTABLE BOX 150X150X50,GI ADAPTABLE BOX 100X100X75
89%,GI CABLE TRAY COVER 150X50MM 2.44MTR,GI CABLE TRAY COVER 305X15MM 2.44MTR
89%,GI CABLE TRAY COVER 100X50MM 2.44MTR,GI CABLE TRAY COVER 305X15MM 2.44MTR
89%,GLASS FUSE 5X20 3A,GLASS FUSE 6X30 3A
89%,GLASS FUSE 5X20 6A,GLASS FUSE 6X30 6A
89%,GLASS FUSE 6X30 1A,GLASS FUSE 5X20 1A
89%,GLASS FUSE 6X30 2A,GLASS FUSE 5X20 2A
89%,GLASS FUSE 6X30 5A,GLASS FUSE 5X20 5A
89%,GLS LAMP ROUND 40W 240V B15,GLS LAMP ROUND 60W 240V E14
89%,GLS LAMP ROUND 40W 240V E14,GLS LAMP ROUND 40W 240V B22
89%,GLS LAMP ROUND 40W 240V E14,GLS LAMP ROUND 60W 240V E27
89%,GLS LAMP ROUND 40W 240V B22,GLS LAMP ROUND 60W 240V E27
89%,"GYPSOM SCREWS 6X2""","GYPSOM SCREWS 8 X 2"""
89%,"GYPSOM SCREWS 6X2""","GYPSOM SCREWS 6X3/4"""
89%,"GYPSOM SCREWS 6X1""","GYPSOM SCREWS 6X3/4"""
89%,HALOGEN DICHR LAMP 220V 35W MR11,HALOGEN DICHR LAMP 12V 50W MR16
89%,HALOGEN DICHR LAMP 220V 35W MR11,HALOGEN DICHR LAMP 12V 20W MR11
89%,HALOGEN DICHR LAMP 220V 20W MR11,HALOGEN DICHR LAMP 12V 50W MR16
89%,HALOGEN DICHR LAMP 220V 20W MR11,HALOGEN DICHR LAMP 12V 35W MR11
89%,HRC FUSE 80A 22X57,HRC FUSE 80A 30X57
89%,HRC FUSE 80A 22X57,HRC FUSE 63A 22X57
89%,HRC FUSE 80A 30X57,HRC FUSE 63A 30X57
89%,HRC FUSE 63A 30X57,HRC FUSE 63A 22X57
89%,IND MALE PLUG 220V 63A 2P+E,IND MALE PLUG 110V 16A 2P+E
89%,IND WALL SOCKET 380/415V 16A 3P+E,IND WALL SOCKET 415V 125A 3P+E
89%,IND WALL SOCKET 415V 125A 3P+E,IND WALL SOCKET 415V 32A 3P+E - PCE
89%,IND WALL SOCKET 415V 63A 3P+N+E (PCE),IND WALL SOCKET 380/415V 16A 3P+E - PCE
89%,IND MOBILE SOCKET 415V 16A 3P+N+E - SCAME,IND MOBILE SOCKET 415V 63A 3P+N +E
89%,IND MOBILE SOCKET 415V 16A 3P+N+E (PCE),IND MOBILE SOCKET 415V 63A 3P+N+E (PCE) - GEWISS
89%,INSECT KILLER 2X20W  - ZIA,INSECT KILLER 2X20W  - RR
89%,ISOLATOR FOR DB 3P 125A - ABB,ISOLATOR FOR DB 2P 100A - ABB
89%,LINE TAP CONNECTOR M120,LINE TAP CONNECTOR M35
89%,LINE TAP CONNECTOR M120,LINE TAP CONNECTOR M95
89%,TELEPHONE SOCKET BT MASTER - SYNERGY,TELEPHONE SOCKET BT MASTER 2G
89%,TELEPHONE SOCKET BT MASTER - SYNERGY,TELEPHONE SOCKET BT MASTER 1G
89%,MCB TP 16A - ABB,MCB DP 6A - ABB
89%,MCB SP 40A - HYUNDAI,MCB TP 20A - HYUNDAI
89%,MCB SP 40A - HYUNDAI,MCB SP 32A - HYUNDAI
89%,MCB TP 63A - HYUNDAI,MCB TP 20A - HYUNDAI
89%,MCB TP 63A - HYUNDAI,MCB SP 32A - HYUNDAI
89%,MCB TP 20A - HYUNDAI,MCB SP 10A - HYUNDAI
89%,MCB TP 20A - HYUNDAI,MCB SP 32A - HYUNDAI
89%,MCB SP 10A - HYUNDAI,MCB SP 32A - HYUNDAI
89%,MCB SP 20A - HYUNDAI,MCB TP 32A - HYUNDAI
89%,MCCB 3P 63A W ENCLOSURE-GE,MCCB 3P 63A W ENCLOSURE-DADA
89%,MECHINE SCREWS M4X32MM,MECHINE SCREWS M4 X 8MM
89%,MECHINE SCREWS M4X40MM,MECHINE SCREWS M4 X 8MM
89%,MECHINE SCREWS M4X50MM,MECHINE SCREWS M4 X 8MM
89%,MECHINE SCREWS M4X20MM,MECHINE SCREWS M4 X 8MM
89%,MECHINE SCREWS M4X16MM,MECHINE SCREWS M4 X 8MM
89%,MECHINE SCREWS M4X25MM,MECHINE SCREWS M4 X 8MM
89%,MECHINE SCREWS M4X12MM,MECHINE SCREWS M4 X 8MM
89%,METAL BOX GI FLUSH 3X3 47MM,METAL BOX GI FLUSH 3X6 25MM
89%,METAL BOX GI FLUSH 3X6 47MM,METAL BOX GI FLUSH 3X3 25MM
89%,METAL HALLIDE LAMP 70W 240V DE - PRC,METAL HALLIDE LAMP 70W 240V G12 - PRATEC
89%,METAL HALLIDE LAMP 150W 240V E27 - NERFA,METAL HALLIDE LAMP 150W 240V DE - GE
89%,NAIL CLIP FLAT 0.50MM PT,NAIL CLIP FLAT 10.0MM
89%,PL LAMP 26W 240V 4PIN DL-GE,PL LAMP 26W 240V 2PIN CW - GE
89%,PL LAMP 26W 240V 4PIN DL-GE,PL LAMP 26W 240V 2PIN WW - GE
89%,PL LAMP 26W 240V 2PIN DL - GE,PL LAMP 26W 240V 4PIN CW-GE
89%,PL LAMP 26W 240V 2PIN DL - GE,PL LAMP 26W 240V 4PIN WW-GE
89%,PL LAMP 18W 240V 2PIN CW/WW - GE,PL LAMP 18W 240V 2PIN DL/WW - IMAGE
89%,PL LAMP 10W 240V 4PIN CW - OSRAM,PL LAMP 13W 240V 4PIN DL/WW - OSRAM
89%,PL LAMP 10W 240V 4PIN CW - OSRAM,PL LAMP 18W 240V 2PIN DL/CW-OSRAM
89%,PRE INS. TERMINAL 1.5MM FORK,PRE INS. TERMINAL 1.5MM RING
89%,PRE INS. TERMINAL 2.5MM FORK,PRE INS. TERMINAL 2.5MM RING
89%,PRE INS. TERMINAL 4/6MM RING,PRE INS. TERMINAL 4/6MM FORK
89%,PRE INS. TERMINAL 1.5MM FEMALE,PRE INS. TERMINAL 2.5MM FEMALE/MALE
89%,RCCB 2P 40A 30MA 240V-HAGER,RCCB 2P 16A 10MA 240V - HAGER
89%,RCCB 2P 63A 300MA 240V - F & G,RCCB 2P 63A 300MA 240V - HAGER
89%,RCCB 4P 100A 300MA - SCHNEIDER,RCCB 4P 63A 30MA - SCHNEIDER
89%,RCCB 4P 40A 100MA - SCHNEIDER,RCCB 4P 63A 500MA - SCHNEIDER
89%,RCCB 4P 40A 100MA - SCHNEIDER,RCCB 4P 63A 300MA - SCHNEIDER
89%,RCCB 4P 100A 30MA - HAGER,RCCB 4P 25A 30MA - HAGER
89%,RCCB 4P 100A 30MA - HAGER,RCCB 4P 63A 30MA - HAGER
89%,RCCB 4P 25A 30MA - HAGER,RCCB 4P 40A 300MA - HAGER
89%,RCCB 4P 25A 30MA - HAGER,RCCB 4P 63A 300MA - HAGER
89%,RCCB 2P 25A 30MA 240V-HAGER,RCCB 2P 16A 10MA 240V - HAGER
89%,RCCB 4P 40A 300MA - HAGER,RCCB 4P 63A 30MA - HAGER
89%,RCCB 4P 100A 300MA - XETEX,RCCB 4P 100A 300MA - GE
89%,REFLECTOR LAMP R63 40W E27,REFLECTOR LAMP PAR38 80W E27
89%,REFLECTOR LAMP R80 40W E27,REFLECTOR LAMP PAR38 80W E27
89%,REFLECTOR LAMP R63 60W E27,REFLECTOR LAMP PAR38 80W E27
89%,REFLECTOR LAMP PAR38 80W E27,REFLECTOR LAMP R80 60W E27
89%,REFLECTOR LAMP PAR38 80W E27,REFLECTOR LAMP PAR38 80W E27 - maxima
89%,RUBBER GROMET 20MM,RUBBER GROMET 38MM
89%,RUBBER GROMET 32MM,RUBBER GROMET 50MM
89%,RUBBER GROMET 12MM,RUBBER GROMET 38MM
89%,RUBBER GROMET 12MM,RUBBER GROMET 50MM
89%,RUBBER SPLICING TAPE - SAUTCH 23,RUBBER SPLICING TAPE 3M - SCOTCH 23
89%,RUBBER GROMET 38MM,RUBBER GROMET 50MM
89%,RUBBER GROMET 38MM,RUBBER GROMET 25MM
89%,SCREW DRIVER 5X150MM  (CRV100),"SCREW DRIVER 100MM 4""  (CRV100)"
89%,WP SW SOCKET 13A 2G  IP66 -RR,WP SW SOCKET 13A 1G  IP55 - RR
89%,WP SW SOCKET 13A 2G  IP66 -RR,WP SW SOCKET 13A 1G  IP66 - BG
89%,WP SW SOCKET 13A 1G  IP66 -RR,WP SW SOCKET 13A 2G  IP55 - RR
89%,WP SW SOCKET 13A 1G  IP66 -RR,WP SW SOCKET 13A 2G  IP66 - BG
89%,WP METALCLAD ISOLATOR 100A TPN - C&S,WP METALCLAD ISOLATOR  40A TPN
89%,WP METALCLAD ISOLATOR  40A TPN,WP METALCLAD ISOLATOR 100A TPN - ABB
89%,WP ISOLATOR 35A TPN - ZIA,WP ISOLATOR 35A TPN - RR
89%,WP SWITCH 10A 2G 2W IP66 - MK,WP SWITCH 20A 2G 2W IP66 - BG
89%,WP SW SOCKET 13A 2G IP66 -(BG) XETEX,WP SW SOCKET 13A 2G IP55 - XETEX
89%,WIRE NUT CONNECTOR 6.0MM RED - E6,WIRE NUT CONNECTOR 1.0MM GREY -  E1
89%,"COPPER MALE SOCKET 11/2""","COPPER FEMALE SOCKET 1"""
89%,"COPPER SOCKET 1"" 30MM","COPPER MALE SOCKET 1"" 30MM"
89%,"PPR GATE VALVE 3/4""","PPR GATE VALVE 1/2"""
89%,"PPR ELBOW 1-1/4"" 90D","PPR ELBOW 1/2"" 90D"
89%,"PPR ELBOW 1-1/4"" 90D",PPR ELBOW 3/4'' 90D
89%,"POLYTHENE PIPE 1-1/4""","POLYTHENE PIPE 1"""
89%,"POLY HOSE B.P 1"" x 1MTR","POLY HOSE BP 3/4"" X 1MTR"
89%,HOLE SAW CUTTER W/ARBOUR 25MM - STRIKE,HOLE SAW CUTTER W/ARBOUR 25MM - TOLSEN
89%,HOLE SAW CUTTER W/ARBOUR 70MM - SCREWS,HOLE SAW CUTTER W/ARBOUR 20MM - STRIKE
89%,HOLE SAW CUTTER W/ARBOUR 20MM - STRIKE,HOLE SAW CUTTER W/ARBOUR 20MM - TOLSEN
89%,CHANGE OVER SWITCH 100A 4P 415V W ENCLOUSURE - HAVELLS,CHANGE OVER SWITCH 400A TPN W ENCLOSURE - HAVELLS
89%,CHANGE OVER SWITCH  63A 4P 415V W ENCLOSURE -  ABB,CHANGE OVER SWITCH  32A 2P 415V W/O ENCLOSURE
89%,WATER PUMP 1.0 HP- MILANO,WATER PUMP 1.0 HP - ZIA
89%,MAGNETIC CONTACTOR 24V DC 25A 4P - SCHNEIDER,MAGNETIC CONTACTOR 24V AC 18A - SCHNEIDER
89%,"EMT BEND/ELBOW 1/2""","EMT BEND/ELBOW 3/4"""
89%,TRAVELLER ADAPTOR 13A 2PIN+SE,TRAVELLER ADAPTOR 13A 2PIN FLAT US
89%,BANANA PLUG 4MM RED DOUBLE END 1MTR,BANANA PLUG 4MM BLACK DOUBLE END 1MTR
89%,THREADED ROD 10MM - 3MTR,THREADED ROD 8MM X 3MTR
89%,RCBO 1P+N 32A 30MA 240V - LS,RCBO 1P+N 32A 300MA 240V - ABB
89%,RCBO 1P+N 20A 30MA 240V - SCHNEIDER,RCBO 1P+N 32A 30MA 240V - SCHNEIDER(64832)
89%,INFRARED MOTION SENSOR SURFACE-VETO,INFRARED MOTION SENSOR SURFACE - INDIGO
89%,"HOOK BP 2""""  'L' TYPE","HOOK BP 1 1/2""  'L' TYPE"
89%,EARTH ROD SOLID COPPER M16 X 4' WITH STUD - SPIKE- CLAMP - AXIS (INDIA),EARTH ROD SOLID COPPER M19 X 4' WITH STUD-SPIKE-CLAMP
89%,CHANGE OVER SWITCH  32A 4P 415V W ENCLOSURE - LW28,CHANGE OVER SWITCH  63A 4P 415V W ENCLOSURE - HAWELLS
89%,LED TRACK LIGHT 220V  30W WH-BODY WW- VMAX,LED TRACK LIGHT 220V  30W WH & BLK-BODY WW-WH- HIMAX
89%,SWITCH METALIC 20A DP+NEON GOLDEN BRB - HAILAR,SWITCH METALIC 20A DP+NEON SILVER BRC  - HAILAR
89%,"CONEX 28MMX1'1/4 COUPLER CXM SOCKET 1""1/4X1'","CONEX 35MMX1'1/4""302 COUPLER CXM SOCKET -1'1/4"
89%,LED CANDLE LAMP FILAMENT 4W E12 WW - TERSEN,LED CANDLE LAMP FILAMENT 4W E12 WW  C35
89%,CABLE FLEXIBLE 2CX0.75MM OVAL BLK (LOOSE),CABLE FLEXIBLE 2CX0.75MM OVAL BLK 100YDS
89%,PVC ADAPTABLE BOX WP 125X125X100 IP66 - VOLT,PVC ADAPTABLE BOX WP 250X150X100 -VOLT
89%,BLANK PLATE METALIC 3X6 R/E BRASS - TENBY,BLANK PLATE METALIC 3X6 R/E BRASS -BM4099
89%,IND MALE PLUG 380/415V 16A 3P+E+N - PCE,IND MALE PLUG 380/415V 16A 3P+N+E - (PCE) IP67
89%,IND WALL SOCKET 380/415V 16A 3P+N+E,IND WALL SOCKET 380/415V 16A 3P+N+E - (PCE) IP67
89%,IND MALE PLUG 380/415V 16A 3P+N+E - (PCE) IP67,IND MALE PLUG 380/415V 32A  3P+N+E - PCE
89%,IND MOBILE SOCKET 415V 63A 3P+E (PCE),IND MOBILE SOCKET 415V 63A 3P+N+E (PCE) - GEWISS
89%,METAL HALLIDE LAMP 250W 240V E40 - PHILIPS,METAL HALLIDE LAMP 70W 240V G12 - PHILIPS
89%,METAL HALLIDE LAMP 70W 240V G12 - PHILIPS,METAL HALLIDE LAMP 400W 240V E40 - PHILIPS
89%,MAGNETIC CONTACTOR 240V 9A - SCHNEIDER,MAGNETIC CONTACTOR 24V 9A 3P 415V - SCHNEIDER
89%,MAGNETIC CONTACTOR 24V DC 12A - SCHNEIDER,MAGNETIC CONTACTOR 240V 25A 2P - SCHNEIDER
89%,MAGNETIC CONTACTOR 24V DC 25A 4P - SCHNEIDER,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER
89%,MAGNETIC CONTACTOR 24V DC 25A 4P - SCHNEIDER,MAGNETIC CONTACTOR 240V 32A - SCHNEIDER
89%,MAGNETIC CONTACTOR 240V 25A 2P - SCHNEIDER,MAGNETIC CONTACTOR 24V AC 18A - SCHNEIDER
89%,EARTH ROD 'U' BOLT CLAMP SINGLE PLATE,EARTH ROD 'U' BOLT CLAMP DOUBLE PLATE
89%,"LED SPOT LIGHT FITTING 3"" 5W - AOMENG","LED SPOT LIGHT FITTING 3"" 5W - SPAKLING"
89%,"LED SURFACE LIGHT SQ 10"" 20W  -WELLUCK","LED SURFACE LIGHT RD 10"" 30W - WELLUCH"
89%,LED DECORATION LIGHT STAR DESIGN WW,LED DECORATION LIGHT MOON DESIGN WW
89%,"LED SURFACE LIGHT RD 8"" 35W - HIMAX","LED SURFACE LIGHT RD 8"" 50W WH/WW - HIMAX"
89%,LED NET LIGHT 4X3MTR 320 BULBS RGB,LED NET LIGHT 4X3MTR 320 BULBS WH/WW
89%,LED STRIP 3 LINE 5050 50M WH/WW - MODI,LED STRIP 3 LINE 5050 50M RGB-MODI
89%,CABLE FLEXIBLE 2CX0.5MM OVAL - BLK  (LOOSE),CABLE FLEXIBLE 2CX1.5MM OVAL BLK
89%,CABLE FLEXIBLE 3Cx1.0MM 80 YDS BLACK,CABLE FLEXIBLE 3CX1.0MM - 80YDS MESC
89%,CABLE FLEXIBLE 3CX2.5MM - 100YDS (ADNEXT),CABLE FLEXIBLE 3CX2.5MM - 100YDS (RR)
89%,CABLE FLEXIBLE 3CX2.5MM - 100YDS (RR),CABLE FLEXIBLE 3Cx1.5MM - 100YDS  (TURKEY)
89%,PVC ADAPTABLE BOX WP 4X4X2 - IDE18400,PVC ADAPTABLE BOX WP 9X6X3 - IDE19400
89%,PVC ADAPTABLE BOX WP 4X4X2 - IDE18400,PVC ADAPTABLE BOX WP 5X5X4 - IDE18500
89%,PVC ADAPTABLE BOX WP 7X6X3 - IDE19100,PVC ADAPTABLE BOX WP 3X3X2 - IDE18100
89%,PVC ADAPTABLE BOX WP 7X6X3 - IDE19100,PVC ADAPTABLE BOX WP 6X4X3 - IDE18800
89%,PVC ADAPTABLE BOX WP 9X6X3 - IDE19400,PVC ADAPTABLE BOX WP 6X4X3 - IDE18800
89%,PVC ADAPTABLE BOX WP 3X3X2 - IDE18100,PVC ADAPTABLE BOX WP 5X5X4 - IDE18500
89%,PVC ADAPTABLE BOX WP 3X3X2 - IDE18100,PVC ADAPTABLE BOX WP 6X4X3 - IDE18800
89%,PVC ADAPTABLE BOX WP 5X5X4 - IDE18500,PVC ADAPTABLE BOX WP 6X4X3 - IDE18800
89%,SWITCH 10A 4G 1W 3X6  SCHNEIDER/VIVACE,SWITCH 16A 2G 1W - SCHNEIDER/VIVACE
89%,SWITCH 10A 4G 1W 3X6  SCHNEIDER/VIVACE,SWITCH 16A 3G 1W - SCHNEIDER/VIVACE
89%,SWITCH 10A 4G 1W 3X6  SCHNEIDER/VIVACE,SWITCH 16A 1G 1W - SCHNEIDER/VIVACE
89%,SWITCH 16A 1G 1W  -SCHNEIDER/PIANO,SWITCH 16A 3G 1W  -SCHNEIDER/PIANO BLACK
89%,DISTRIBUTION BOARD 12W SPN - INDOASIAN,DISTRIBUTION BOARD 12W SPN - HYUNDAI
89%,"EX FAN METAL W GRILL 10"" 250MM - KHIND","EX FAN METAL W GRILL 10"" 250MM - DETON"
89%,"EX FAN METAL W GRILL 10"" 250MM - DETON","EX FAN METAL W GRILL 10"" 250MM - WINDY"
89%,HALOGEN DICHR LAMP 12V 50W MR16,HALOGEN DICHR LAMP 12V 50W MR16 - PHILIPS
89%,IND MALE PLUG 380/415V 16A 3P+E+N - PCE,IND MALE PLUG 380/415V 32A 3P+N+E
89%,IND MALE PLUG 380/415V 16A 3P+E+N - PCE,IND MALE PLUG 415V 16A 3P+N+E (PCE)
89%,IND MALE PLUG 380/415V 32A  3P+N+E - PCE,IND MALE PLUG 415V 16A 3P+N+E (PCE)
89%,IND WALL SOCKET 380/415V 16A 3P+E - PCE,IND WALL SOCKET 415V 32A 3P+E - PCE
89%,IND MALE PLUG 380/415V 16A 3P+E+N - SCAME,IND MALE PLUG 380/415V 16A 3P+E
89%,IND MOBILE SOCKET 415V 32A 3P+N+E,IND MOBILE SOCKET 415V 16A 3P+N+E (PCE)
89%,IND MOBILE SOCKET 415V 16A 3P+E -PCE,IND MOBILE SOCKET 220V 16A 2P+E (PCE)
89%,ISOLATOR 63A 3P W/O ENCLOSURE-HAVELLS,ISOLATOR 63A 3P W/O ENCLOSURE- ABB
89%,METAL HALLIDE/SODIUM BALLAST 1000W,METAL HALLIDE/SODIUM BALLAST 250W - VS
89%,METAL HALLIDE LAMP 70W 240V DE - PRC,METAL HALLIDE LAMP 150W 240V G12 - PRC
89%,METAL HALLIDE LAMP 70W 240V G12 - GE,METAL HALLIDE LAMP 150W 240V G12 - PRC
89%,METAL HALLIDE LAMP 150W 240V E40 NDL,METAL HALLIDE LAMP 150W 240V DE - GE
89%,WP SW SOCKET 13A 1G GRY IP66 - MK56486GRY,WP SW SOCKET 13A 1G GRY IP66 - MK
89%,WATER HEATER 50L VERTICAL - MILANO,WATER HEATER 80L VERTICAL 5YEAR - MILANO
89%,"EMT ROUND J BOX WITH COVER 3/4"" 4WAY","EMT ROUND J BOX WITH COVER 1/2"" 3WAY"
89%,"EMT ROUND J BOX WITH COVER 3/4"" 1WAY","EMT ROUND J BOX WITH COVER 1/2"" 3WAY"
89%,"LED PANEL RD 6"" 15W FLUSH WH - MX","LED PANEL RD 8"" 20W FLUSH WH - MAX"
89%,LED CANDLE LAMP 5W E14 WH - MX,LED CANDLE LAMP 5W E14 WW - WELLMAX
89%,LED CANDLE LAMP 3W E14 WW - MX,LED CANDLE LAMP 5W E14 WW - WELLMAX
89%,LED FLOOD LIGHT 100W WW - HYUNDAI,LED FLOOD LIGHT 100W WW - INDIGO
89%,LED BATTEN FITTING 1X4FT - KHIND,LED BATTEN FITTING 1X4FT HD - ZIA
89%,LED BATTEN FITTING 1X4FT - V MAX,LED BATTEN FITTING 1X4FT HD - ZIA
89%,LED FLOOD LIGHT 100W WH - MODI,LED FLOOD LIGHT 100W WH - MICROLITE
89%,"LED SURFACE LIGHT RD 6"" 12W - MAX","LED SURFACE LIGHT RD 10"" 30W - MAX"
89%,"LED SURFACE LIGHT RD 6"" 12W - MAX","LED SURFACE LIGHT RD 6"" 12W - TECO"
89%,"LED PANEL SQ 8"" 24W FLUSH -MODI","LED PANEL RD 8"" 24W FLUSH WH - MODI"
89%,"LED PANEL SQ 8"" 24W FLUSH -MODI","LED PANEL RD 8"" 24W FLUSH WW - MODI"
89%,"LED PANEL SQ 8"" 20W FLUSH -TECO","LED PANEL SQ 8"" 20W FLUSH WH - NEOX"
89%,"LED PANEL SQ 8"" 20W FLUSH -TECO","LED PANEL RD 8"" 20W FLUSH WH -TECO"
89%,"LED PANEL SQ 8"" 20W FLUSH -TECO","LED PANEL RD 8"" 20W FLUSH WW -TECO"
89%,LED PANEL RD 6'' 12W FLUSH - PRESTON,"LED PANEL RD 6"" 12W FLUSH - TECO"
89%,LED FLOOD LIGHT 30W WH - PRESTON,LED FLOOD LIGHT 50W RGB - PRESTON
89%,LED FLOOD LIGHT 30W RGB - PRESTON,LED FLOOD LIGHT 50W WW- PRESTON
89%,LED FLOOD LIGHT 30W RGB - PRESTON,LED FLOOD LIGHT 50W WH - PRESTON
89%,LED SOLAR FLOOD LIGHT 200W - MODI,LED SOLAR FLOOD LIGHT 100W - ZIA
89%,"LED PANEL SQ 8"" 20W FLUSH - HIMAX","LED PANEL RD 8"" 20W FLUSH WH - MAX"
89%,LED FLOOD LIGHT 50W RGB - PRESTON,LED FLOOD LIGHT 30W WW - PRESTON
89%,"LED PANEL RD 8"" 24W FLUSH WH - MODI","LED PANEL RD 8"" 35W FLUSH-MODI"
89%,"LED PANEL RD 6"" 12W FLUSH - TECO","LED PANEL RD 8"" 20W FLUSH WH -TECO"
89%,"LED PANEL RD 6"" 12W FLUSH - TECO","LED PANEL RD 8"" 20W FLUSH WW -TECO"
89%,"LED DOWN LIGHT 4"" 10W - NAVIGATE","LED DOWN LIGHT 6"" 20W WH - NAVIGATE"
89%,"LED DOWN LIGHT 4"" 10W - NAVIGATE","LED DOWN LIGHT 6"" 20W  WW - NAVIGATE"
89%,"LED DOWN LIGHT 6"" 20W WH - NAVIGATE","LED DOWN LIGHT 8"" 30W - NAVIGATE"
89%,"LED PANEL RD 8"" 35W FLUSH-MODI","LED PANEL RD 8"" 24W FLUSH WW - MODI"
89%,"LED DOWN LIGHT 6"" 20W  WW - NAVIGATE","LED DOWN LIGHT 8"" 30W - NAVIGATE"
89%,CABLE FLEXIBLE 3CX2.5MM - 80YDS (RR),CABLE FLEXIBLE 3CX6.0MM - 80YDS
89%,CABLE FLEXIBLE 3CX2.5MM - 80YDS (RR),CABLE FLEXIBLE 4CX1.5MM 80YDS
89%,CABLE FLEXIBLE 4CX2.5MM 80YDS - RR,CABLE FLEXIBLE 4CX4.0MM 80YDS
89%,PVC TRUNKING 75X50MM-DIGNITY,PVC TRUNKING 50X50MM-DIGNITY / VOLT
89%,SWITCH 20A DP IVORY WHITE- V MAX,SWITCH 2G 2W IVORY  WHITE - V MAX
89%,SWITCH 4G 2W IVORY  WHITE - V MAX,SWITCH 45A DP  IVORY WHITE - V MAX
89%,DIMMER SWITCH 2000W 1G 1W - BOLTON,DIMMER SWITCH 2000W 1G 1W - GEO
89%,CEILING MOUNT EX FAN 200MM - KHIND,CEILING MOUNT EX FAN 200MM - RR
89%,CEILING MOUNT EX FAN 200MM - RR,CEILING MOUNT EX FAN 200MM - BENNA
89%,DISTRIBUTION BOARD 4W TPN - AOELEC,DISTRIBUTION BOARD 4W TPN - PRC
89%,DISTRIBUTION BOARD 8+6 TPN - GE,DISTRIBUTION BOARD 4+2 TPN - MAXGE
89%,DISTRIBUTION BOARD 6+4 TPN - GE,DISTRIBUTION BOARD 4+2 TPN - MAXGE
89%,DISTRIBUTION BOARD 8+4 TPN - GE,DISTRIBUTION BOARD 4+2 TPN - MAXGE
89%,DISTRIBUTION BOARD 4+2 TPN - LS,DISTRIBUTION BOARD 4+2 TPN - MAXGE
89%,E SAVING LAMP 11W B22 - PHILIPS,E SAVING LAMP 11W E27 DL - PHILIPS
89%,E SAVING LAMP 11W B22 - PHILIPS,E SAVING LAMP 11W E27 WW - PHILIPS
89%,E SAVING LAMP 23W B22 - PHILIPS,E SAVING LAMP 23W E27 DL - PHILIPS
89%,E SAVING LAMP 23W B22 - PHILIPS,E SAVING LAMP 23W E27 WW - PHILIPS
89%,E SAVING LAMP 26W E27 SPIRAL -BN,E SAVING LAMP 8W E27 SPIRAL - GE
89%,E SAVING LAMP 20W E27 - PHILIPS,E SAVING LAMP 18W E27 WW - PHILIPS
89%,E SAVING LAMP 20W E27 - PHILIPS,E SAVING LAMP 11W E27 DL - PHILIPS
89%,E SAVING LAMP 20W E27 - PHILIPS,E SAVING LAMP 14W E27 DL - PHILIPS
89%,E SAVING LAMP 20W E27 - PHILIPS,E SAVING LAMP 18W E27 DL - PHILIPS
89%,E SAVING LAMP 20W E27 - PHILIPS,E SAVING LAMP 11W E27 WW - PHILIPS
89%,E SAVING LAMP 20W E27 - PHILIPS,E SAVING LAMP 14W E27 WW - PHILIPS
89%,E SAVING LAMP 14W B22 - PHILIPS,E SAVING LAMP 14W E27 DL - PHILIPS
89%,E SAVING LAMP 14W B22 - PHILIPS,E SAVING LAMP 14W E27 WW - PHILIPS
